"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 4 default","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 5 default"
"","variable","parent-cocuk-filesi","Çocuk Filesi","1","0","visible","Çocuk Filesi - ölçü, ip kalınlığı, göz aralığı ve renk varyasyonları.","Ürün İçeriği: 
- 4x4cm göz aralığında, 4mm ip kalınlığında, 1,5x10 metre boyutlarında BEYAZ çocuk güvenlik filesi, -24 metre 4mm kalınlığında iskota/dağcı halatı, -20 adet 23/150 açık piton kanca, -4 adet 6mm çelik kanca Çocuklarınız İçin Maksimum Güvenlik: Çocuk güvenlik filelerimiz, küçük çocukların balkon, merdiven, pencere gibi tehlikeli alanlarda düşme riskine karşı özel olarak üretilmiştir.
 Üstün Malzeme Kalitesi: Ürünlerimizde yüksek mukavemetli, UV katkılı iplikler kullanılır.
 Güneş, yağmur, rüzgar gibi dış etkenlerden etkilenmez.
 Esneme yapmaz, zamanla incelmez.
 Kediniz kemirerek ya da tırmalayarak kopartamaz.
 Sağlam ve Kolay Montaj: Ürünümüz, balkon demirlerine veya korkuluklara kolayca monte edilebilecek şekilde tasarlanmıştır.
 Montaj konusunda endişeleriniz varsa gönderdiğimiz kargonun içerisinde yer alan Garanti Belgesi'nde bulunan QR kodu kullanarak, sizler için hazırladığımız kurulum videosundan profesyonel destek alabilirsiniz.
 Estetik ve Uyumlu Tasarım: Görünümü rahatsız etmeyen sade dokusuyla balkonunuzun estetik çizgisine uyum sağlar.
 Görüşü engellemeden koruma sağlayan filelerimizde evinizin konseptine uygunluğu açısından siyah ve beyaz olmak üzere iki renk çeşidi bulunmaktadır.
 Dış Mekanlara Uygun: Filemiz Türkiye standartları göz önünde bulundurularak örülmüş olup ülkemizde gerçekleşen bütün hava durumlarına karşı dayanıklıdır.
 Güneşte sertleşmez, soğukta çatlamaz.
 Çürümelere karşı 5 yıllık garanti kapsamı firmamız tarafından sağlanmaktadır.","","","taxable","","1","","","0","0","","","","","1","","","","Güvenlik Filesi > Çocuk Filesi","","","https://i.hizliresim.com/487ea0g.jpg","","","","","","","","","0","Ölçü","1.5x3 m, 1.5x4 m, 1.5x5 m, 1.5x6 m, 1.5x7 m, 1.5x8 m, 1.5x9 m, 1.5x10 m, 1.5x11 m, 1.5x12 m, 1.5x13 m, 1.5x14 m, 1.5x15 m, 1.5x16 m, 1.5x17 m, 1.5x18 m, 1.5x19 m, 1.5x20 m, 1.7x2 m, 1.7x3 m, 1.7x4 m, 1.7x5 m, 1.7x6 m, 1.7x7 m, 1.7x8 m, 1.7x9 m, 1.7x10 m, 1.7x11 m, 1.7x12 m, 1.7x13 m, 1.7x14 m, 1.7x15 m, 1.7x16 m, 1.7x17 m, 1.7x18 m, 1.7x19 m, 1.7x20 m, 2.5x2 m, 2.5x3 m, 2.5x4 m, 2.5x5 m, 2.5x6 m, 2.5x7 m, 2.5x8 m, 2.5x9 m, 2.5x10 m, 2.5x11 m, 2.5x12 m, 2.5x13 m, 2.5x14 m, 2.5x15 m, 2.5x16 m, 2.5x17 m, 2.5x18 m, 2.5x19 m, 2.5x20 m, 2.8x5 m, 2.8x9 m, 2.8x10 m, 2.8x11 m, 2.8x18 m, 2.8x19 m, 2x2 m, 2x3 m, 2x4 m, 2x5 m, 2x6 m, 2x7 m, 2x8 m, 2x9 m, 2x10 m, 2x11 m, 2x12 m, 2x13 m, 2x15 m, 2x16 m, 2x17 m, 2x18 m, 2x20 m, 3x2 m, 3x3 m, 3x4 m, 3x5 m, 3x6 m, 3x7 m, 3x8 m, 3x9 m, 3x10 m, 3x11 m, 3x12 m, 3x13 m, 3x14 m, 3x15 m, 3x16 m, 3x17 m, 3x18 m, 3x19 m, 3x20 m","1","1","1.5x3 m","İp Kalınlığı","4 mm, 6 mm","1","1","4 mm","Göz Aralığı","4x4, 5x5, 10x10","1","1","4x4","Renk","Gri, Standart","1","1","Gri","Mukavemet","Güçlü, Yüksek","1","1","Güçlü"
"","variation","by20259911","1.5x3 Mt Balkon Çocuk Güvenlik Filesi -6mm Kalınlık, 10x10 Gözenek + Montaj Aparatları-Çelik Dubel","1","0","visible","","","","","taxable","","1","477","","0","0","","","","","1","","","1099","Güvenlik Filesi > Çocuk Filesi","","","https://i.hizliresim.com/487ea0g.jpg","","","parent-cocuk-filesi","","","","","","0","Ölçü","1.5x3 m","1","1","","İp Kalınlığı","6 mm","1","1","","Göz Aralığı","10x10","1","1","","Renk","Standart","1","1","","Mukavemet","Yüksek","1","1",""
"","variation","1085","Çocuk Balkon Güvenlik Filesi 1.5x3 Mt 4mm İp Kalınlığı 4x4 Gözenekli + Montaj Aparatları","1","0","visible","","Ürün İçeriği: -4x4cm göz aralığında, 4mm ip kalınlığında, 1,5x3 metre boyutlarında BEYAZ çocuk güvenlik filesi, -10 metre 4mm kalınlığında iskota/dağcı halatı, -6 adet 23/150 açık piton kanca, -4 adet 6mm çelik kanca Çocuklarınız İçin Maksimum Güvenlik: Çocuk güvenlik filelerimiz, küçük çocukların balkon, merdiven, pencere gibi tehlikeli alanlarda düşme riskine karşı özel olarak üretilmiştir.
 Yüksek mukavemetli, UV katkılı iplik yapısı sayesinde aşınmaz, kopmaz, esneme yapmaz.
 Çocuğunuz fileye tutunsa veya asılsa dahi güvenle koruma sağlar.
 Dayanıklı ve Kaliteli Malzeme: File ipliği UV katkılı olduğu için güneş ışınlarından, yağmurdan, kardan ve rüzgardan etkilenmez.
 Ne sıcak hava ne de soğuk hava nedeniyle deforme olmaz, zamanla incelmez veya gevşeme yapmaz.
 Kolay Montaj, Pratik Kullanım: Ürünümüz balkon, pencere, merdiven, korkuluk gibi alanlara kolaylıkla monte edilebilir.
 Paket içerisinden çıkan Garanti Belgesi üzerindeki QR kod sayesinde adım adım anlatılan kurulum videosu ile montajı kısa sürede tamamlayabilirsiniz.
 Estetik ve Göze Batmayan Tasarım: Şeffaf görünümlü dokusu sayesinde ortam estetiğini bozmaz.
 Görüşünüzü engellemeden güvenliğinizi sağlar.
 Beyaz ve siyah renk seçenekleriyle ev dekorasyonunuza uyum sağlar.
 Dış ve İç Mekan Kullanımına Uygun: Türkiye iklim şartlarına uygun olarak üretilmiştir.
 Güneşte sertleşmez, soğukta çatlamaz.
 Çürüme yapmaz.
 Üstelik firmamız tarafından 5 YIL ÇÜRÜME GARANTİSİ ile gönderilmektedir.","","","taxable","","1","499","","0","0","","","","","1","","","1299","Güvenlik Filesi > Çocuk Filesi","","","https://i.hizliresim.com/487ea0g.jpg","","","parent-cocuk-filesi","","","","","","1","Ölçü","1.5x3 m","1","1","","İp Kalınlığı","4 mm","1","1","","Göz Aralığı","4x4","1","1","","Renk","Standart","1","1","","Mukavemet","Güçlü","1","1",""
"","variation","by20259912","1.5x4 Mt Balkon Çocuk Güvenlik Filesi -6mm Kalınlık, 10x10 Gözenek + Montaj Aparatları-Çelik Dubel","1","0","visible","","","","","taxable","","1","499","","0","0","","","","","1","","","1699","Güvenlik Filesi > Çocuk Filesi","","","https://i.hizliresim.com/487ea0g.jpg","","","parent-cocuk-filesi","","","","","","2","Ölçü","1.5x4 m","1","1","","İp Kalınlığı","6 mm","1","1","","Göz Aralığı","10x10","1","1","","Renk","Standart","1","1","","Mukavemet","Yüksek","1","1",""
"","variation","1086","Çocuk Balkon Güvenlik Filesi 1.5x4 Mt 4mm İp Kalınlığı 4x4 Gözenekli + Montaj Aparatları","1","0","visible","","Ürün İçeriği: -4x4cm göz aralığında, 4mm ip kalınlığında, 1,5x4 metre boyutlarında BEYAZ çocuk güvenlik filesi, -12 metre 4mm kalınlığında iskota/dağcı halatı, -8 adet 23/150 açık piton kanca, -4 adet 6mm çelik kanca Çocuklarınız İçin Maksimum Güvenlik: Çocuk güvenlik filelerimiz, küçük çocukların balkon, merdiven, pencere gibi tehlikeli alanlarda düşme riskine karşı özel olarak üretilmiştir.
 Yüksek mukavemetli, UV katkılı iplik yapısı sayesinde aşınmaz, kopmaz, esneme yapmaz.
 Çocuğunuz fileye tutunsa veya asılsa dahi güvenle koruma sağlar.
 Dayanıklı ve Kaliteli Malzeme: File ipliği UV katkılı olduğu için güneş ışınlarından, yağmurdan, kardan ve rüzgardan etkilenmez.
 Ne sıcak hava ne de soğuk hava nedeniyle deforme olmaz, zamanla incelmez veya gevşeme yapmaz.
 Kolay Montaj, Pratik Kullanım: Ürünümüz balkon, pencere, merdiven, korkuluk gibi alanlara kolaylıkla monte edilebilir.
 Paket içerisinden çıkan Garanti Belgesi üzerindeki QR kod sayesinde adım adım anlatılan kurulum videosu ile montajı kısa sürede tamamlayabilirsiniz.
 Estetik ve Göze Batmayan Tasarım: Şeffaf görünümlü dokusu sayesinde ortam estetiğini bozmaz.
 Görüşünüzü engellemeden güvenliğinizi sağlar.
 Beyaz ve siyah renk seçenekleriyle ev dekorasyonunuza uyum sağlar.
 Dış ve İç Mekan Kullanımına Uygun: Türkiye iklim şartlarına uygun olarak üretilmiştir.
 Güneşte sertleşmez, soğukta çatlamaz.
 Çürüme yapmaz.
 Üstelik firmamız tarafından 5 YIL ÇÜRÜME GARANTİSİ ile gönderilmektedir.","","","taxable","","1","499","","0","0","","","","","1","","","1449","Güvenlik Filesi > Çocuk Filesi","","","https://i.hizliresim.com/487ea0g.jpg","","","parent-cocuk-filesi","","","","","","3","Ölçü","1.5x4 m","1","1","","İp Kalınlığı","4 mm","1","1","","Göz Aralığı","4x4","1","1","","Renk","Standart","1","1","","Mukavemet","Güçlü","1","1",""
"","variation","by20259913","1.5x5 Mt Balkon Çocuk Güvenlik Filesi -6mm Kalınlık, 10x10 Gözenek + Montaj Aparatları-Çelik Dubel","1","0","visible","","","","","taxable","","1","499","","0","0","","","","","1","","","1799","Güvenlik Filesi > Çocuk Filesi","","","https://i.hizliresim.com/487ea0g.jpg","","","parent-cocuk-filesi","","","","","","4","Ölçü","1.5x5 m","1","1","","İp Kalınlığı","6 mm","1","1","","Göz Aralığı","10x10","1","1","","Renk","Standart","1","1","","Mukavemet","Yüksek","1","1",""
"","variation","1087","Çocuk Balkon Güvenlik Filesi 1.5x5 Mt 4mm İp Kalınlığı 4x4 Gözenekli + Montaj Aparatları","1","0","visible","","Ürün İçeriği: -4x4cm göz aralığında, 4mm ip kalınlığında, 1,5x5 metre boyutlarında BEYAZ çocuk güvenlik filesi, -14 metre 4mm kalınlığında iskota/dağcı halatı, -10 adet 23/150 açık piton kanca, -4 adet 6mm çelik kanca Çocuklarınız İçin Maksimum Güvenlik: Çocuk güvenlik filelerimiz, küçük çocukların balkon, merdiven, pencere gibi tehlikeli alanlarda düşme riskine karşı özel olarak üretilmiştir.
 Yüksek mukavemetli, UV katkılı iplik yapısı sayesinde aşınmaz, kopmaz, esneme yapmaz.
 Çocuğunuz fileye tutunsa veya asılsa dahi güvenle koruma sağlar.
 Dayanıklı ve Kaliteli Malzeme: File ipliği UV katkılı olduğu için güneş ışınlarından, yağmurdan, kardan ve rüzgardan etkilenmez.
 Ne sıcak hava ne de soğuk hava nedeniyle deforme olmaz, zamanla incelmez veya gevşeme yapmaz.
 Kolay Montaj, Pratik Kullanım: Ürünümüz balkon, pencere, merdiven, korkuluk gibi alanlara kolaylıkla monte edilebilir.
 Paket içerisinden çıkan Garanti Belgesi üzerindeki QR kod sayesinde adım adım anlatılan kurulum videosu ile montajı kısa sürede tamamlayabilirsiniz.
 Estetik ve Göze Batmayan Tasarım: Şeffaf görünümlü dokusu sayesinde ortam estetiğini bozmaz.
 Görüşünüzü engellemeden güvenliğinizi sağlar.
 Beyaz ve siyah renk seçenekleriyle ev dekorasyonunuza uyum sağlar.
 Dış ve İç Mekan Kullanımına Uygun: Türkiye iklim şartlarına uygun olarak üretilmiştir.
 Güneşte sertleşmez, soğukta çatlamaz.
 Çürüme yapmaz.
 Üstelik firmamız tarafından 5 YIL ÇÜRÜME GARANTİSİ ile gönderilmektedir.","","","taxable","","1","500","","0","0","","","","","1","","","1599","Güvenlik Filesi > Çocuk Filesi","","","https://i.hizliresim.com/487ea0g.jpg","","","parent-cocuk-filesi","","","","","","5","Ölçü","1.5x5 m","1","1","","İp Kalınlığı","4 mm","1","1","","Göz Aralığı","4x4","1","1","","Renk","Standart","1","1","","Mukavemet","Güçlü","1","1",""
"","variation","by20259914","1.5x6 Mt Balkon Çocuk Güvenlik Filesi -6mm Kalınlık, 10x10 Gözenek + Montaj Aparatları-Çelik Dubel","1","0","visible","","","","","taxable","","1","499","","0","0","","","","","1","","","1999","Güvenlik Filesi > Çocuk Filesi","","","https://i.hizliresim.com/487ea0g.jpg","","","parent-cocuk-filesi","","","","","","6","Ölçü","1.5x6 m","1","1","","İp Kalınlığı","6 mm","1","1","","Göz Aralığı","10x10","1","1","","Renk","Standart","1","1","","Mukavemet","Yüksek","1","1",""
"","variation","1088","Çocuk Balkon Güvenlik Filesi 1.5x6 Mt 4mm İp Kalınlığı 4x4 Gözenekli + Montaj Aparatları","1","0","visible","","Ürün İçeriği: -4x4cm göz aralığında, 4mm ip kalınlığında, 1,5x6 metre boyutlarında BEYAZ çocuk güvenlik filesi, -16 metre 4mm kalınlığında iskota/dağcı halatı, -12 adet 23/150 açık piton kanca, -4 adet 6mm çelik kanca Çocuklarınız İçin Maksimum Güvenlik: Çocuk güvenlik filelerimiz, küçük çocukların balkon, merdiven, pencere gibi tehlikeli alanlarda düşme riskine karşı özel olarak üretilmiştir.
 Yüksek mukavemetli, UV katkılı iplik yapısı sayesinde aşınmaz, kopmaz, esneme yapmaz.
 Çocuğunuz fileye tutunsa veya asılsa dahi güvenle koruma sağlar.
 Dayanıklı ve Kaliteli Malzeme: File ipliği UV katkılı olduğu için güneş ışınlarından, yağmurdan, kardan ve rüzgardan etkilenmez.
 Ne sıcak hava ne de soğuk hava nedeniyle deforme olmaz, zamanla incelmez veya gevşeme yapmaz.
 Kolay Montaj, Pratik Kullanım: Ürünümüz balkon, pencere, merdiven, korkuluk gibi alanlara kolaylıkla monte edilebilir.
 Paket içerisinden çıkan Garanti Belgesi üzerindeki QR kod sayesinde adım adım anlatılan kurulum videosu ile montajı kısa sürede tamamlayabilirsiniz.
 Estetik ve Göze Batmayan Tasarım: Şeffaf görünümlü dokusu sayesinde ortam estetiğini bozmaz.
 Görüşünüzü engellemeden güvenliğinizi sağlar.
 Beyaz ve siyah renk seçenekleriyle ev dekorasyonunuza uyum sağlar.
 Dış ve İç Mekan Kullanımına Uygun: Türkiye iklim şartlarına uygun olarak üretilmiştir.
 Güneşte sertleşmez, soğukta çatlamaz.
 Çürüme yapmaz.
 Üstelik firmamız tarafından 5 YIL ÇÜRÜME GARANTİSİ ile gönderilmektedir.","","","taxable","","1","496","","0","0","","","","","1","","","1799","Güvenlik Filesi > Çocuk Filesi","","","https://i.hizliresim.com/487ea0g.jpg","","","parent-cocuk-filesi","","","","","","7","Ölçü","1.5x6 m","1","1","","İp Kalınlığı","4 mm","1","1","","Göz Aralığı","4x4","1","1","","Renk","Standart","1","1","","Mukavemet","Güçlü","1","1",""
"","variation","by20259915","1.5x7 Mt Balkon Çocuk Güvenlik Filesi -6mm Kalınlık, 10x10 Gözenek + Montaj Aparatları-Çelik Dubel","1","0","visible","","","","","taxable","","1","499","","0","0","","","","","1","","","2099","Güvenlik Filesi > Çocuk Filesi","","","https://i.hizliresim.com/487ea0g.jpg","","","parent-cocuk-filesi","","","","","","8","Ölçü","1.5x7 m","1","1","","İp Kalınlığı","6 mm","1","1","","Göz Aralığı","10x10","1","1","","Renk","Standart","1","1","","Mukavemet","Yüksek","1","1",""
